ID, SHORTCODE, LIKES, COMMENTS, DATE, IS_VIDEO, VIDEO_VIEW_COUNT
991338073369661465, 3B8LmzhNAZ, 36, 3, 2015-05-23 08:58:49, False, N/A
999478583875653766, 3e3HoAhNCG, 31, 5, 2015-06-03 14:32:33, True, 0
999483774578512156, 3e4TKOhNEc, 49, 3, 2015-06-03 14:42:52, False, N/A
1005793007699808484, 31S2ldhNDk, 51, 1, 2015-06-12 07:38:11, False, N/A
1019748541100511442, 4m3-UwhNDS, 74, 10, 2015-07-01 13:45:20, True, 0
1025397709999493217, 468cjSBNBh, 31, 1, 2015-07-09 08:49:14, True, 0
1030972951950053606, 5OwG_-BNDm, 64, 5, 2015-07-17 01:26:14, True, 0
1034157731654980384, 5aEPpNBNMg, 101, 2, 2015-07-21 10:53:50, False, N/A
1043711163927679297, 58AcYWBNFB, 48, 2, 2015-08-03 15:14:48, False, N/A
1044343154876404449, 5-QJDyBNLh, 87, 8, 2015-08-04 12:10:27, True, 0
1050921093776593743, 6VnyqxhNNP, 60, 10, 2015-08-13 13:59:38, True, 0
1054522221009359737, 6ial93BNN5, 49, 5, 2015-08-18 13:14:26, True, 0
1055086137926013027, 6ka0CahNBj, 109, 5, 2015-08-19 07:54:50, False, N/A
1056738443763438041, 6qSgQJBNHZ, 91, 1, 2015-08-21 14:37:40, False, N/A
1066844001086525492, 7OMPdzhNA0, 80, 0, 2015-09-04 13:15:37, False, N/A
1076862392425829157, 7xyKP0hNMl, 98, 4, 2015-09-18 09:00:22, False, N/A
1081050850664960281, 8AqgViBNEZ, 67, 9, 2015-09-24 03:42:05, True, 0
1084986543250395860, 8OpYM4hNLU, 94, 3, 2015-09-29 14:01:36, False, N/A
1103058365539733756, 9O2b08hND8, 137, 2, 2015-10-24 12:27:05, False, N/A
1106721011250024902, 9b3OVlBNHG, 87, 5, 2015-10-29 13:44:07, False, N/A
1158721747143675909, BAUm0o0BNAF, 110, 0, 2016-01-09 06:40:17, False, N/A
1163793167829749792, BAmn7hYhNAg, 136, 13, 2016-01-16 06:36:18, False, N/A
1174787872847614103, BBNr1iXhNCX, 92, 5, 2016-01-31 10:40:49, False, N/A
1187205491051516487, BB5zRqhhNJH, 125, 9, 2016-02-17 13:52:24, False, N/A
1203838336188600527, BC05JarhNDP, 132, 5, 2016-03-11 12:38:54, False, N/A
1206110515320115911, BC89x-ZhNLH, 113, 7, 2016-03-14 16:53:19, False, N/A
1214816081513075583, BDb5MouBNN_, 188, 6, 2016-03-26 17:09:43, False, N/A
1234984757310575150, BEjjBfyhNIu, 104, 1, 2016-04-23 13:01:17, False, N/A
1235645221887594596, BEl5MhXBNBk, 118, 3, 2016-04-24 10:53:30, False, N/A
1244318967582216974, BFEtYIiBNMO, 155, 3, 2016-05-06 10:06:41, False, N/A
1245176240613413514, BFHwTGQhNKK, 119, 2, 2016-05-07 14:29:56, False, N/A
1246497169557737971, BFMcpJNBNHz, 111, 4, 2016-05-09 10:14:23, False, N/A
1249354356210586262, BFWmSrohNKW, 118, 2, 2016-05-13 08:51:06, False, N/A
1249924310634910701, BFYn4nDhNPt, 96, 2, 2016-05-14 03:43:30, False, N/A
1250802765605949962, BFbvn0ABNIK, 101, 0, 2016-05-15 08:48:50, False, N/A
1252181849632199649, BFgpMIFhNPh, 85, 12, 2016-05-17 06:28:50, True, 735
1253863901775581190, BFmnpNOBNAG, 115, 0, 2016-05-19 14:10:46, False, N/A
1254574820113568357, BFpJSbhBNJl, 109, 2, 2016-05-20 13:43:14, False, N/A
1255959446979662314, BFuEHZxhNHq, 132, 6, 2016-05-22 11:34:14, False, N/A
1259566422649262470, BF64PzpBNGG, 89, 4, 2016-05-27 11:00:40, False, N/A
1260143794767319593, BF87hrVBNIp, 112, 4, 2016-05-28 06:07:48, False, N/A
1265409317021208688, BGPoxHEhNBw, 114, 3, 2016-06-04 12:29:27, False, N/A
1270495384309125959, BGhtNIWhNNH, 127, 5, 2016-06-11 12:54:33, False, N/A
