,ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
16,1736550123436246064,BgZdyL6FAQw,195,4,2018-03-16 20:42:08,Friday,A little party never killed nobody✨💋 @DJErock Returns to Oxford Social Club TONIGHT. Click the link in our bio for guest list consideration.,False,,bpm_nightlife bnikki26 d.cousar soulrisetribe tomomimata maggiemariscal randy_mendez1 darasteinrichter priscillabermingham lamar_prince ,,DJErock ,True
17,1735669145523021710,BgWVeRSgWeO,258,5,2018-03-15 15:31:47,Thursday,Kicking off the weekend—TONIGHT at Oxford Social Club with beats by babe @djaylasimone!,False,,jmoaddab codenamekar thekarenstyle hellaclassic breskags k10sd we_came_saw_did rico1588_toscano donymark lacroixmusic ,,djaylasimone! ,True
18,1732873391247000097,BgMZysOAQIh,104,5,2018-03-11 18:57:07,Sunday,Last night’s shenanigans with @ericbellinger! For more photos 📷 check out our Facebook page,False,,collsully saintclairmusic rubep_photography gabematix o_hash caseyfeldser ulzg djque a.l.e.x_mi jbladow ,,ericbellinger! ,True
19,1731476682855968143,BgHcN6KgG2P,274,7,2018-03-09 20:42:06,Friday,Weekends are our favorite! Come kick it off tonight at Oxford Social Club featuring sounds by @DJSchoenyOfficial. Click the link in our bio for guest list consideration.,False,,todostequierenchingar mcneelydc fabriciov22 money_aerial_media sangria_mami _lifethatsshinning_ pistol_pete22 djzee nadeemaladli nazd112 ,,DJSchoenyOfficial. ,True
20,1730876216002882757,BgFTr91BizF,159,1,2018-03-09 00:49:05,Friday,Time to Rendezvous 🎉 . Tonight we welcome back @Craig_Smoove to Oxford Social Club. Click the link in our bio for guest list consideration.,False,,lavelledupree hlockmoney neverlandnomad dave_rukus djmkey760 dreiyya bdavidge david_omni_eg mar.sol.love fabiofelipe31 ,,Craig_Smoove ,True
21,1730735804654835503,BgEzwtkgFcv,225,3,2018-03-08 20:10:07,Thursday,Happy Internation Women's Day to all our Industry babes!💪🏼💋,False,,todd46742 villawolf420 karmamarv madeinam_erika katelynmarie73 bdavidge jorjetavlahova neverlandnomad jessicajohnson521 max_voroninn ,,,True
22,1730005086618301025,BgCNnXXgLJh,150,6,2018-03-07 19:58:19,Wednesday,Eric Bellinger ✖️ Oxford Social Club Join us this weekend on Saturday  March 10th for a special live performance by @ericbellinger at Oxford Social Club. Click the link in our bio for guest list consideration!,False,,_amourrasia breee_princess21 jbladow _chainsawh nicoleantoinette clairemorales_ arleneibarra djkerryglass djschoenyofficial alchemehealth ,,March ericbellinger ,True
23,1727234207812207334,Bf4XlxYjMLm,86,2,2018-03-04 00:13:04,Sunday,All dressed up  and ready to go! Meet us at Oxford Social Club tonight featuring sounds by Jerzy. Click the link in our bio for guest list consideration.,False,,b.rye__ brittny.iceman tylerjames_photo drinkmagicbullet slave2stylez jenstagram2 msnicky anthony_afonsoo brandond_lv djque ,,and ,True
24,1726460130000607007,Bf1nldPj5cf,127,5,2018-03-02 22:35:07,Friday,We're all smiles on #Fridays!,False,,ggalleriaphotog kioniyvonne lastcoast_ ooscarjr_ christianna.knutson omiezus v_rodd kevinmansour gabematix ,Fridays ,,True
25,1722245873620961696,BfmpX9JD0mg,190,10,2018-02-25 03:02:08,Sunday,Tonight  we're dancing like no one's watching with @DJSpider on deck! Click the link in our bio for guest list consideration.,False,,b.james.bon ivanduran16 randy_mendez1 xokarensita colonelcopin liltine420 robbyhobbs lets_do_brunch_ devinedevaughn alikitten ,,we're DJSpider ,True
26,1721382671596927252,BfjlGtnDDkU,124,4,2018-02-23 22:27:07,Friday,Friyay and we're ready to party! Join us for champagne &amp; chandeliers tonight at @TheOxfordSD with sounds by @DJEROCK!  Click the link in our bio for guest list consideration.,False,,rnelopez helensunjoy tatianna_almaz alexrey89 jbladow samleesd djkerryglass djque gabrielparent dreiyya ,,TheOxfordSD DJEROCK! Click ,True
27,1720762205018679991,BfhYBvFDmq3,235,1,2018-02-23 01:54:21,Friday,Your weekend awaits! Kick it off tonight with @djkaossd at Oxford Social Club @pendrysandiego,False,,nicotuxedo darrenjames15 ms.lizacevedo eddievaldez1977 pattyccaakkee cel_nuncio kimbellabella mikedunn34 marcus8060 alexfarrarii ,,djkaossd pendrysandiego ,True
28,1716991736905897233,BfT-uNAjpUR,166,7,2018-02-17 21:03:06,Saturday,Saturdays are for the girls! Join us tonight at Oxford Social Club featuring sounds by DJ @Stonerokk.,False,,djsd_ lastcoast_ iamchefsantiago buhoomusic ramone_russell jrso671 stevelivinfit javenrochell diamante_wildside amarroquin1208 ,,Stonerokk. ,True
29,1714777129268498319,BfMHLa7A0-P,159,0,2018-02-14 19:43:05,Wednesday,Relive Another Decade | Join us this Thursday  February 15 for our Ultimate #ThrowbackThursday party at Oxford Social Club. Click the link in our bio for guest list consideration. #RAD,False,,al3x_at_parq shanarogers p_mastermind buhoomusic dandalanny bryanbroo mas.porfavor sineadalice cannababekatie jessicapelligra ,ThrowbackThursday RAD ,February ,False
30,1712916668235968631,BfFgKJkDPB3,192,1,2018-02-12 06:06:40,Monday,In honor of @PendrySanDiego’s First Anniversary  we’re recapping our favorite moments from the Grand Opening Party! Swipe for more📸,False,,nicoleantoinette og13_420_luieg modfnb robert0lopez whoiscodyclark ioslosangeles djnosignal scott_wellinger lifted666 ,,PendrySanDiego’s we’re ,True
31,1712159230427718452,BfCz7-ojOM0,292,0,2018-02-11 05:01:47,Sunday,Birthday Antics Round✌🏼🎈S/O to our friends  family and guests who have traveled near and far to help us celebrate this weekend. 💘 #OxfordTurnsOne #Leggo 📸:@litasop,False,,rico1588_toscano serramesaproductions silverimmersion jennaspittler jrso671 scott_wellinger limoguy jeanfrancolemes1 will_delosreyes ay_ehron ,OxfordTurnsOne Leggo ,family ,False
32,1710964017885654935,Be-kLWNjK-X,367,5,2018-02-09 13:27:06,Friday,Dressing well is a form of good manners- Tom Ford #flashbackfriday to our Grand Opening Party!,False,,louisloother xoxolovetori seancharsley brandond_lv mrs.renteria2017 miss_ariadna juan.perdomo alyssa_1413 lajollavacationrentals zoesflower ,flashbackfriday ,,True
33,1708433385758570568,Be1kxzYjrhI,184,6,2018-02-06 01:39:11,Tuesday,A look back at last Summer with the one and only @TreySongz at Oxford Social Club! #OxfordTurnsOne,False,,kiran_dayal thedreamteamgroup djkyleflesch chiefj1978 emilyghaderi djshowtime annalisamariayoung _pariscartel_ bone_ified latinanatalina ,OxfordTurnsOne ,TreySongz ,True
34,1706691391608593834,BevYsc6DB2q,231,5,2018-02-03 15:58:09,Saturday,FEB 9-10 | Save the date ✔️ This babe👆🏼will be joining us next weekend to celebrate #OxfordTurnsOne at @pendrysandiego🎈with @ericdlux &amp; @djfive @saintclairmusic  Sign up for our guest list: TheOxfordSD.com,False,,diz_dez msnichols86 edithproy shvedig anthony_afonsoo omiezus brmartins bednightstories colonelcopin kayliekay22 ,OxfordTurnsOne ,pendrysandiego🎈with ericdlux djfive saintclairmusic Sign ,True
35,1706157137229375810,BetfOBvjelC,130,0,2018-02-02 22:16:41,Friday,#FlashbackFriday to when @PostMalone partied with us at Oxford Social Club! #OxfordTurnsOne,False,,sillykrilly iamjroc agentbaz ryanlabbe smontess redryderrr fabiofelipe31 slave2stylez mas.porfavor michaeljunior__ ,FlashbackFriday OxfordTurnsOne ,PostMalone ,False
36,1705467602325566713,BerCb-UjXT5,98,1,2018-02-01 23:27:10,Thursday,We’re kicking off our 1st Birthday Party 🎉 next weekend starting with @ericdlux on Friday (2/09) and @djfive on Saturday (2/10). Click the link in our bio for guest list and VIP Reservations!,True,800.0,anthony_afonsoo smontess yasemanp tatianna_almaz shawnkstyles pascalekourie oh_hexxx_yeeah bradyspear djlito619_ dahaitianprince ,,ericdlux djfive ,True
37,1705364131656044047,Beqq6RwDQ4P,156,2,2018-02-01 20:01:08,Thursday,En route to a wild weekend at Oxford Social Club. It all kicks off TONIGHT! THU: @deejayal FRI: @djmrbest SAT: @devinlucien,False,,drmartyyy ancheeese miguel_t_diaz joannafravel davidkalisz justdealicious lastcoast_ lisa.remillard louisloother goofychampion ,,deejayal djmrbest devinlucien ,True
38,1701216791772243450,Beb76ifg6X6,141,3,2018-01-27 02:41:06,Saturday,Join us tonight for champagne &amp; chandeliers with sounds by @DJERock! Click the link in our bio for guest list consideration.,False,,mcneelydc smmurtha jvictoria04 v_rodd money_aerial_media chrisdolcesd iamjroc shawnkstyles glossyfotos rr_realestate_team ,,DJERock! ,True
39,1700436155529262924,BeZKayVjXdM,219,7,2018-01-26 00:50:07,Friday,Grab your gals  and let’s kick off the weekend with @DJShadowman at Oxford Social Club. Click the link in our bio for guest list consideration.,False,,tbagging rnolasco47 sd247 lets_do_brunch_ _sweet.dulce.soraya_ d.cousar jennaspittler shanniedara widdersworld bill_fn_jones ,,and DJShadowman ,True
