,ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1594,800227692258633063,sa-tiogaVn,1498,13,2014-09-01 23:36:36,Monday,Eat  sleep  #WetRepublic  repeat! @calvinharris #WetRepublic #LDW2014,False,,pizdahavor25 marryam_abbassi milad_b24 kaifcarvalhoktbffh7 luisdelpozoo 90nik90 lafeek2 jakobsson_96 andreapego angelaxcarberry ,WetRepublic WetRepublic LDW2014 ,sleep repeat! calvinharris ,True
1595,800176277851055219,sazBXPAaRz,1250,116,2014-09-01 21:54:27,Monday,Were closing out the biggest #LDW2014 celebration in #Vegas today with @calvinharris &amp; @ineedr3hab! #WetRepublic,True,0.0,dj_javi_2033 van_eriksoon j_shep03 minku308 ymartinsaavedra williambispo91 a.b.arslan s.lo_caputo deactivatedfanclub ,LDW2014 Vegas WetRepublic ,calvinharris ineedr3hab! ,True
1596,800028119951058809,saRVYcAad5,931,5,2014-09-01 17:00:05,Monday,Today we'll #cheers to #LDW2014 at #WetRepublic with @calvinharris on the decks! #WetRepublic #Vegas #LetsGetWet,False,,michael_caskie saahibsinghreehal angel_elizondof maxramirez196 jma_xo gebs14 mcfelk jltoledo01 incrypted craigrubia ,cheers LDW2014 WetRepublic WetRepublic Vegas LetsGetWet ,calvinharris ,True
1597,799519903500576481,sYdx2_Aabh,1007,50,2014-09-01 00:10:21,Monday,Just another #Sunday in #Vegas! @martingarrix #WetRepublic #Vegas,True,0.0,mralpha78 _f48i0 carooolien_ underwearlikearainbow 3.m__4 martingarrixholland naponocetti mgorgevic ,Sunday Vegas WetRepublic Vegas ,martingarrix ,True
1598,799489932010824714,sYW9t3AaQK,1197,126,2014-08-31 23:10:48,Sunday,Having an amazing day at #WetRepublic with @martingarrix! #Animals #Vegas #LDW2014,True,0.0,javiiqueragil vanessapro alexander_vogt escy13 alexisc412 don_ox isabelavrc cfraire19 hapinez68 mehrdad2077 ,WetRepublic Animals Vegas LDW2014 ,martingarrix! ,True
1599,799476708234340064,sYT9SQgabg,1021,26,2014-08-31 22:44:32,Sunday,Packing the pool for #LDW2014 with @martingarrix!,False,,hairbyronihale dottyellis nickkhil _ashkan_e max_2823 chrisr125yz kle90 davidnotter jennniferadams michael_caskie ,LDW2014 ,martingarrix! ,True
1600,799454319500960967,sYO3fIAaTH,806,3,2014-08-31 22:00:03,Sunday,,False,,royaskarov abhinavmistry ernesto_jovany javier.ramirez.parra xxxuae dierit u23yohei384 zaidfrayeh mohamad594 ninjasuzieq ,,,True
1601,799386366902379739,sX_apVgaTb,877,2,2014-08-31 19:45:02,Sunday,Whoever requested bottle service  we're coming for you! #LetsGetWet,False,,saransh_61 eliezer_milano nicolaides_13 sakurarara48 matt_fauze carrilloangel22 wc_jack josewing2 davidrodriguezgranja iamalexandrum ,LetsGetWet ,we're ,True
1602,799303437417293307,sXsj3PAaX7,1270,21,2014-08-31 17:00:16,Sunday,From the decks at the festival  to ours in #LasVegas! Today  @MartinGarrix debuts at #WetRepublic! #Vegas #LetsGetWet,False,,polancovasquez ovo_christian jackbookham bennikirk zar.fee gonzalfarof itsme_ali_ andresbojorqueza josewing2 memelobejon ,LasVegas WetRepublic Vegas LetsGetWet ,to @MartinGarrix ,True
1603,798820132792149471,sV-q2ugaXf,1216,8,2014-08-31 01:00:02,Sunday,We're expecting a high chance of #showers this Sunday at #WetRepublic! Don't miss @MartinGarrix's 2014 debut by the pool! #LetsGetWet,False,,cristobalsarer14 ohitslinde schwarz_arny yalmannaei steve_pizz omarnlife mgorgevic fedebgtoro moe_baba ,showers WetRepublic LetsGetWet ,MartinGarrix's ,True
1604,798805745717060740,sV7ZfuAaSE,1050,89,2014-08-31 00:31:27,Sunday,The #LDW2014 edition of #RepublicofTiesto! #WetRepublic #LetsGetWet @tiesto,True,0.0,jawwvier guigolfernandes samanthayoung5 lalalisaaa sirtonarin johnnyjmac93 alexisszivan b_cano00 0106james_garland rodrigomgf ,LDW2014 RepublicofTiesto WetRepublic LetsGetWet ,tiesto ,True
1605,798729536379397413,sVqEgPgaUl,1205,36,2014-08-30 22:00:02,Saturday,Everyone is making their way to the water for @tiesto's arrival! We're loving #LDW2014 at #WetRepublic!,False,,bert_dweck saucymanx djsalle niteshmjain nickwi1kins andres_rodrigues_g melissaisabellee royaskarov mike_aiken ,LDW2014 WetRepublic ,tiesto's ,True
1606,798578672926828370,sVHxJtAadS,826,16,2014-08-30 17:00:17,Saturday,Hey @tiesto fans! Today  #TheKing returns home to turn #LDW2014 up a notch! #WetRepublic #Vegas,False,,lcora rafaeldunne williamcholko tinerspatti nataliee_anaya cirowsky mattnadeauphotography brijraj_ravalji deebones88 alandwighttt ,TheKing LDW2014 WetRepublic Vegas ,tiesto ,True
1607,798095389650691481,sTZ4dFAaWZ,1184,5,2014-08-30 01:00:06,Saturday,Hands high and cryo on. Get ready to party with @tiesto tomorrow for another round of #LDW2014! #WetRepublic #LetsGetWet,False,,jordanjohnston2 laceymcculloch kabilen007 omurcanbozz gustavocrocha giuliano.port caballerosf ,LDW2014 WetRepublic LetsGetWet ,tiesto ,True
1608,798072573341575043,sTUsbvAaeD,992,15,2014-08-30 00:14:46,Saturday,The definition of #Aokified. #WetRepublic #Vegas @steveaoki #AokisPlayhouse,False,,s.lo_caputo insta_swish11 demigill_ deineelternliebenmich oscararrigo majes_tee cameroncraik kabawi91 omid__a mralpha78 ,Aokified WetRepublic Vegas AokisPlayhouse ,steveaoki ,True
1609,798048374950569253,sTPMTOgaUl,1330,74,2014-08-29 23:26:41,Friday,Welcome to the party @steveaoki! Thank you @nervomusic for an incredible set! #LetsGetWet #LDW2014 #AokisPlayhouse,True,0.0,limacassandra edxamor _ivan_pq yaka_02 anafontecha steve_freitas nalaniwakita nadiaxoxos zaidanarrasyid ,LetsGetWet LDW2014 AokisPlayhouse ,steveaoki! nervomusic ,True
1610,798004236167259435,sTFJ_yAaUr,1354,121,2014-08-29 21:58:59,Friday,Our favorite twins have arrived! #Vegas #WetRepublic @nervomusic #LDW2014,True,0.0,juansants ivan_yashiel herbie_abreu adrianuvillado ronaldowatanabe1980 nervoargentina stefanklipa mesho112 mgvargas nanpaes ,Vegas WetRepublic LDW2014 ,nervomusic ,True
1611,797854035414722258,sSjASbgabS,862,9,2014-08-29 17:00:34,Friday,Who wouldn't want to start the first day celebrating #LDW2014 at #WetRepublic with some champagne? Today we welcome @steveaoki to the party! #AokisPlayhouse,False,,dierit sjugert67 mcfelk gatsby_le_noir _kuskinator jaycrindle kimura_hypeman85 samurezende annetteminaj zubairwilliams ,LDW2014 WetRepublic AokisPlayhouse ,steveaoki ,True
1612,797347960072546099,sQv77Cgacz,804,5,2014-08-29 00:15:05,Friday,Things got a little crazy the last time @sj_rm made their way to #WetRepublic! Sunday  9/7 they return to the pool! #LetsGetWet,False,,soulmatebeat ryanmohoric be_rn_hard padraig.kane lord_frequency kolyann tjwilliamsss cameroncraik michelebarison luayyu_11 ,WetRepublic LetsGetWet ,sj_rm 9/7 ,True
1613,797234709687018571,sQWL6ZgaRL,661,5,2014-08-28 20:30:05,Thursday,We can only imagine what @tiesto will bring to our first nighttime celebration  #WETAtNight! 9/16 tickets are going fast: www.wetrepublic.com,False,,sakurarara48 chelsea_sia1314 mpmuey cnnn8 chiossalazar koshertovar_89 robbyliem _mattedwardslv heycaliph ihsanafnan ,WETAtNight ,tiesto ,True
1614,797196948611377025,sQNmaqAaeB,637,8,2014-08-28 19:15:03,Thursday,Prayers have been answered. @Steveaoki returns this Friday with #AokisPlayhouse to launch #LDW2014 at #WetRepublic! #LetsGetWet,False,,paejimenez memelobejon alegaona_ el_guapo8 ayo_dron anujbhagwe sakurarara48 chelsea_sia1314 cnnn8 ,AokisPlayhouse LDW2014 WetRepublic LetsGetWet ,Steveaoki ,True
1615,797129365614863715,sP-O9FgaVj,918,20,2014-08-28 17:00:47,Thursday,These bottles could be for you  but you haven't purchased your #LDW2014 tickets yet! Don't wait any longer: www.wetrepublic.com,False,,raulcabrera31 luizfernandoelias peter_baldonado_jr velo86 corrupt172 chelsea_sia1314 sakurarara48 allartnefkens koshertovar_89 ,LDW2014 ,but ,True
1616,796542662512584519,sN41TPgadH,851,18,2014-08-27 21:35:06,Wednesday,Tickets are selling out for #LDW2014 with @steveaoki @calvinharris @tiesto @martingarrix @ineedr3hab @nervomusic &amp; more! For tickets: www.wetrepublic.com,False,,casseemere drummedude stollmichael luispe9 lbojorges traplordsenad dj_gassendi barandbar jjmichael26 christiantotten ,LDW2014 ,steveaoki calvinharris tiesto martingarrix ineedr3hab nervomusic ,True
1617,796494970969237203,sNt_TCAabT,792,13,2014-08-27 20:00:21,Wednesday,Be there on Saturday  9/6 when @Nervomusic gives us #SomethingToBelieveIn! #WetRepublic #Vegas,False,,jma_xo josee_diaz97 dc2drew 10steva10 lenincastellanos happyparmar agerizzo b_cano00 abhishek.mistry ,SomethingToBelieveIn WetRepublic Vegas ,9/6 Nervomusic ,True
1618,796474775252870388,sNpZaTgaT0,664,31,2014-08-27 19:20:13,Wednesday,Don't miss #WetRepublic's best season yet come to a close this October with @steveaoki @dannyavila@calvinharris &amp; @sj_rm! Tickets are available now: www.wetrepublic.com,False,,eddydz209 luiz.aboim nicolaides_13 keato10 gabbsescobar proud_bear glenncamposchinchilla miniguapito christopher_p_rodwell ,WetRepublic ,steveaoki dannyavila@calvinharris sj_rm! ,True
1619,796404237461464650,sNZW83gaZK,623,7,2014-08-27 17:00:05,Wednesday,Just what the captain ordered. #WetRepublic @VeuveClicquot #Vegas #PoolSeason,False,,schwarz_arny aminvattani linuskarlsoon razi_da10 ch130lin itsyoboyabdullah leeandr3w mattzompa ,WetRepublic Vegas PoolSeason ,VeuveClicquot ,True
1620,795898385675691632,sLmV1rgaZw,907,4,2014-08-27 00:15:02,Wednesday,What's a party without #champagne? Join us in September at #WetRepublic and celebrate with: @calvinharris @r3hab @Nervomusic @sj_rm @tiesto @afrojack &amp; more! www.wetrepublic.com,False,,i__vandali edierose_andme keeez23 senor714 jahamees oppsss_ladiesss nataliecook22 bpt1991 royaskarov nikitachalana ,champagne WetRepublic ,calvinharris r3hab Nervomusic sj_rm tiesto afrojack ,True
1621,795754939170268394,sLFuatgaTq,899,7,2014-08-26 19:30:02,Tuesday,Trained to protect and serve all summer long. #WetRepublic #Vegas @mgmgrand,False,,pdigz thealexman syarizat luizfernandoelias robsterthemobster21 jus_gus wc_jack slipknot_boy11 lucky_charm_26 ,WetRepublic Vegas ,mgmgrand ,True
1622,795681960654644712,sK1IcLAaXo,1163,39,2014-08-26 17:05:02,Tuesday,We're only a few days away until @MartinGarrix has his first ever #WetRepublic experience! Join us this Sunday during #LDW2014 for his debut. #LetsGetWet,False,,lele_frax jasoncarseldine hamiltonbrett23 vekram_ awingsky shireenmaqdah bashee saucymanx ,WetRepublic LDW2014 LetsGetWet ,MartinGarrix ,True
1623,795166093558785500,sI_1lgAaXc,949,27,2014-08-26 00:00:06,Tuesday,We can only imagine what our party will be like at night! Join us for our first ever nighttime bash with @Tiesto headlining on Tuesday  9/16!,False,,elbesborba jordancrane86 walteeeee jahamees michelebarison o.gebaby sunshinnneee deebones88 ahmedessam1997 florisvanhalm ,,Tiesto 9/16! ,True
1624,795105665541579937,sIyGPhgaSh,1114,38,2014-08-25 22:00:03,Monday,Yes  you deserve this. Spend those vacation days poolside with us at #WetRepublic with @MartinGarrix on the decks this Sunday  8/31 during #LDW2014!,False,,schwarz_arny ebzakbari adriansaltos amritsandhar jesus_stonem williamcholko franjicois ,WetRepublic LDW2014 ,you MartinGarrix 8/31 ,True
1625,795030157382493503,sIg7dEgaU_,716,10,2014-08-25 19:30:01,Monday,Wave in #LDW2014 the #WetRepublic way this weekend! Tickets are going fast: www.wetrepublic.com,False,,thegreatestmachineeverbuilt kapanowskig mikegraham97 brianclaudio globbin_green_giant420 deejaypichiii kari_onelove freddyalonso22 johnlv4 lucasgcunha ,LDW2014 WetRepublic ,,True
1626,794954755683231264,sIPyNxAaYg,830,6,2014-08-25 17:00:13,Monday,Take us back to this moment with @afrojack! Join us during his birthday celebration on Sunday  9/14! #WetRepublic,False,,jimkol_ dmotzno filipeinarss0n ali_issa pesv21 nessagomez1 agerizzo babybruu jobrublack bahermoufid ,WetRepublic ,afrojack! 9/14! ,True
1627,794954724192396831,sIPxwcAaYf,951,26,2014-08-25 17:00:09,Monday,Who's up for some #shots this weekend to kick off #LDW2014? #Vegas #WetRepublic @MGMGrand #Patron,False,,jdw522 fultoneightynine robbyliem kayahustle davidrodriguezgranja ch3vy_girl jdgriffith2623 kapanowskig jorgel.guzman_ firekiller_apparel ,shots LDW2014 Vegas WetRepublic Patron ,MGMGrand ,True
1628,794320637945554493,sF_mlmgaY9,1153,10,2014-08-24 20:00:20,Sunday,That moment right before the #ChampagneShowers begin...nothing is better! #WetRepublic #Vegas @mgmgrand @thechainsmokers,False,,lockiehill_ anhtoan_win maki_armendariz miguel__osuna lianstephanie saeed.assar34 thicastelletto randy_dias_ imeric0420 cameroncraik ,ChampagneShowers WetRepublic Vegas ,mgmgrand thechainsmokers ,True
1629,794305398906659990,sF8I1JAaSW,888,12,2014-08-24 19:30:04,Sunday,We're spending an evening #InTheDark with Tiësto﻿ at #WetRepublic for the first time ever on Tuesday  9/16. Tickets are going fast: www.wetrepublic.com,False,,hemramozafary that_guy_v.i.c ay_yoadrienne oscarvargasguio jasmine1amy moe_baba raulolivaj manisha_1x roy.sandoval4 ,InTheDark WetRepublic ,9/16. ,True
