ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, USERS_LIKED, TAGS, MENTIONS, HAS_COMMENTS
1732873391247000097, BgMZysOAQIh, 105, 5, 2018-03-11 11:57:07, Last night’s shenanigans with @ericbellinger! For more photos 📷 check out our Facebook page, False, N/A, collsully saintclairmusic rubep_photography gabematix o_hash caseyfeldser ulzg djque a.l.e.x_mi jbladow , , ericbellinger! , true
1731476682855968143, BgHcN6KgG2P, 272, 7, 2018-03-09 12:42:06, Weekends are our favorite! Come kick it off tonight at Oxford Social Club featuring sounds by @DJSchoenyOfficial. Click the link in our bio for guest list consideration., False, N/A, fabriciov22 money_aerial_media sangria_mami _lifethatsshinning_ pistol_pete22 djzee nadeemaladli nazd112 rr_realestate_team ng_media_ , , DJSchoenyOfficial. , true
1730876216002882757, BgFTr91BizF, 158, 1, 2018-03-08 16:49:05, Time to Rendezvous 🎉 . Tonight we welcome back @Craig_Smoove to Oxford Social Club. Click the link in our bio for guest list consideration., False, N/A, hlockmoney neverlandnomad dave_rukus djmkey760 dreiyya bdavidge david_omni_eg mar.sol.love fabiofelipe31 hellaclassic , , Craig_Smoove , true
1730735804654835503, BgEzwtkgFcv, 225, 3, 2018-03-08 12:10:07, Happy Internation Women's Day to all our Industry babes!💪🏼💋, False, N/A, todd46742 villawolf420 karmamarv madeinam_erika katelynmarie73 bdavidge jorjetavlahova neverlandnomad jessicajohnson521 max_voroninn , , , true
1730005086618301025, BgCNnXXgLJh, 150, 6, 2018-03-07 11:58:19, Eric Bellinger ✖️ Oxford Social Club Join us this weekend on Saturday  March 10th for a special live performance by @ericbellinger at Oxford Social Club. Click the link in our bio for guest list consideration!, False, N/A, _amourrasia breee_princess21 jbladow _chainsawh nicoleantoinette clairemorales_ arleneibarra djkerryglass djschoenyofficial alchemehealth , , March ericbellinger , true
1727234207812207334, Bf4XlxYjMLm, 85, 2, 2018-03-03 16:13:04, All dressed up  and ready to go! Meet us at Oxford Social Club tonight featuring sounds by Jerzy. Click the link in our bio for guest list consideration., False, N/A, b.rye__ brittny.iceman tylerjames_photo drinkmagicbullet slave2stylez jenstagram2 msnicky anthony_afonsoo brandond_lv djque , , and , true
1726460130000607007, Bf1nldPj5cf, 126, 5, 2018-03-02 14:35:07, We're all smiles on #Fridays!, False, N/A, kioniyvonne lastcoast_ ooscarjr_ christianna.knutson omiezus mr.zachmaguire v_rodd kevinmansour gabematix carlo10mercurio , Fridays , , true
1722245873620961696, BfmpX9JD0mg, 190, 10, 2018-02-24 19:02:08, Tonight  we're dancing like no one's watching with @DJSpider on deck! Click the link in our bio for guest list consideration., False, N/A, b.james.bon ivanduran16 randy_mendez1 xokarensita colonelcopin liltine420 robbyhobbs lets_do_brunch_ devinedevaughn alikitten , , we're DJSpider , true
1721382671596927252, BfjlGtnDDkU, 123, 3, 2018-02-23 14:27:07, Friyay and we're ready to party! Join us for champagne &amp; chandeliers tonight at @TheOxfordSD with sounds by @DJEROCK!  Click the link in our bio for guest list consideration., False, N/A, helensunjoy tatianna_almaz alexrey89 jbladow samleesd djkerryglass djque gabrielparent dreiyya derekfromvegas , , TheOxfordSD DJEROCK! Click , true
1720762205018679991, BfhYBvFDmq3, 235, 1, 2018-02-22 17:54:21, Your weekend awaits! Kick it off tonight with @djkaossd at Oxford Social Club @pendrysandiego, False, N/A, nicotuxedo darrenjames15 ms.lizacevedo eddievaldez1977 pattyccaakkee cel_nuncio kimbellabella mikedunn34 marcus8060 alexfarrarii , , djkaossd pendrysandiego , true
1716991736905897233, BfT-uNAjpUR, 166, 7, 2018-02-17 13:03:06, Saturdays are for the girls! Join us tonight at Oxford Social Club featuring sounds by DJ @Stonerokk., False, N/A, djsd_ lastcoast_ iamchefsantiago buhoomusic ramone_russell jrso671 stevelivinfit javenrochell diamante_wildside amarroquin1208 , , Stonerokk. , true
1714777129268498319, BfMHLa7A0-P, 159, 0, 2018-02-14 11:43:05, Relive Another Decade | Join us this Thursday  February 15 for our Ultimate #ThrowbackThursday party at Oxford Social Club. Click the link in our bio for guest list consideration. #RAD, False, N/A, al3x_at_parq shanarogers p_mastermind buhoomusic dandalanny bryanbroo mas.porfavor sineadalice cannababekatie jessicapelligra , ThrowbackThursday RAD , February , false
1712916668235968631, BfFgKJkDPB3, 192, 1, 2018-02-11 22:06:40, In honor of @PendrySanDiego’s First Anniversary  we’re recapping our favorite moments from the Grand Opening Party! Swipe for more📸, False, N/A, nicoleantoinette og13_420_luieg modfnb robert0lopez whoiscodyclark ioslosangeles djnosignal scott_wellinger lifted666 , , PendrySanDiego’s we’re , true
1712159230427718452, BfCz7-ojOM0, 292, 0, 2018-02-10 21:01:47, Birthday Antics Round✌🏼🎈S/O to our friends  family and guests who have traveled near and far to help us celebrate this weekend. 💘 #OxfordTurnsOne #Leggo 📸:@litasop, False, N/A, rico1588_toscano serramesaproductions silverimmersion jennaspittler jrso671 scott_wellinger limoguy jeanfrancolemes1 will_delosreyes ay_ehron , OxfordTurnsOne Leggo , family , false
1710964017885654935, Be-kLWNjK-X, 366, 5, 2018-02-09 05:27:06, "Dressing well is a form of good manners"- Tom Ford #flashbackfriday to our Grand Opening Party!, False, N/A, xoxolovetori seancharsley brandond_lv mrs.renteria2017 miss_ariadna juan.perdomo alyssa_1413 lajollavacationrentals zoesflower cali_fresh_wes , flashbackfriday , , true
1708433385758570568, Be1kxzYjrhI, 184, 6, 2018-02-05 17:39:11, A look back at last Summer with the one and only @TreySongz at Oxford Social Club! #OxfordTurnsOne, False, N/A, kiran_dayal thedreamteamgroup djkyleflesch chiefj1978 emilyghaderi djshowtime annalisamariayoung _pariscartel_ bone_ified latinanatalina , OxfordTurnsOne , TreySongz , true
1706691391608593834, BevYsc6DB2q, 231, 5, 2018-02-03 07:58:09, FEB 9-10 | Save the date ✔️ This babe👆🏼will be joining us next weekend to celebrate #OxfordTurnsOne at @pendrysandiego🎈with @ericdlux &amp; @djfive @saintclairmusic  Sign up for our guest list: TheOxfordSD.com, False, N/A, diz_dez msnichols86 edithproy shvedig anthony_afonsoo omiezus brmartins bednightstories colonelcopin kayliekay22 , OxfordTurnsOne , pendrysandiego🎈with ericdlux djfive saintclairmusic Sign , true
1706157137229375810, BetfOBvjelC, 129, 0, 2018-02-02 14:16:41, #FlashbackFriday to when @PostMalone partied with us at Oxford Social Club! #OxfordTurnsOne, False, N/A, iamjroc agentbaz ryanlabbe smontess redryderrr fabiofelipe31 slave2stylez mas.porfavor michaeljunior__ jbladow , FlashbackFriday OxfordTurnsOne , PostMalone , false
1705467602325566713, BerCb-UjXT5, 98, 1, 2018-02-01 15:27:10, We’re kicking off our 1st Birthday Party 🎉 next weekend starting with @ericdlux on Friday (2/09) and @djfive on Saturday (2/10). Click the link in our bio for guest list and VIP Reservations!, True, 778, anthony_afonsoo smontess yasemanp tatianna_almaz shawnkstyles pascale_kourie oh_hexxx_yeeah bradyspear djlito619_ rexohene , , ericdlux djfive , true
1705364131656044047, Beqq6RwDQ4P, 156, 2, 2018-02-01 12:01:08, En route to a wild weekend at Oxford Social Club. It all kicks off TONIGHT! THU: @deejayal FRI: @djmrbest SAT: @devinlucien, False, N/A, drmartyyy ancheeese miguel_t_diaz joannafravel davidkalisz justdealicious lastcoast_ lisa.remillard louisloother goofychampion , , deejayal djmrbest devinlucien , true
1701216791772243450, Beb76ifg6X6, 141, 3, 2018-01-26 18:41:06, Join us tonight for champagne &amp; chandeliers with sounds by @DJERock! Click the link in our bio for guest list consideration., False, N/A, mcneelydc smmurtha jvictoria04 v_rodd money_aerial_media chrisdolcesd iamjroc shawnkstyles glossyfotos rr_realestate_team , , DJERock! , true
1700436155529262924, BeZKayVjXdM, 219, 7, 2018-01-25 16:50:07, Grab your gals  and let’s kick off the weekend with @DJShadowman at Oxford Social Club. Click the link in our bio for guest list consideration., False, N/A, tbagging rnolasco47 sd247 lets_do_brunch_ _sweet.dulce.soraya_ d.cousar jennaspittler shanniedara widdersworld bill_fn_jones , , and DJShadowman , true
1698956384089818818, BeT59RyjkbC, 143, 3, 2018-01-23 15:50:05, Weekend Lineup at Oxford Social Club: THU: @djshadowman FRI: @djerock SAT: @djcobra  Click the link in our bio for guest list consideration., False, N/A, flablucchesi mar.sol.love caseyfeldser jonathanjttownsend jvictoria04 natg_24 33jazzygirl mike__agg djlito619_ blessmyeatingheart , , djshadowman djerock djcobra Click , true
