ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, USERS_LIKED, TAGS, MENTIONS, HAS_COMMENTS
1750005029047453535, BhJRE1PhUdf, 199, 13, 2018-04-04 03:16:34, Samstag 7.4. Circus Rounge meets Vanilla @rudasstudios #placetobe #girlnightout #düsseldorf, True, 3224, elistnc denisa211 jayohmusic tuancan1 fuhsanic ninathoe baitoneyqpiz roses___blog lets_go_rick gadget2go.eu , placetobe girlnightout düsseldorf , rudasstudios , true
1722559117086002717, BfnwmP2hY4d, 137, 5, 2018-02-25 05:27:35, Thank you @lollipop_event and team. Licht Künstler @design.licht @djnsure and Rudasteam #wearerudasstudios #dusseldorf #party #, True, 1451, aynur_ay16 has_44 yu_sea_ crispin96ne aylinaylozaza36 gandy_lc leo_borntrager zweimillionen julia_1s jackeline_bedin , wearerudasstudios dusseldorf party , lollipop_event design.licht djnsure , true
1694429855930117828, BeD0vn7h-7E, 174, 1, 2018-01-17 09:56:41, Candy 🍭 #Saturday #rudasstudios #girlnightout #düsseldorf #domperignon #moet #champagne, False, N/A, luca.zi jack.jonss timur_cicek nik_schroeder leo_borntrager la_madame_claudine derderallesbekommt alej.andro1 moe_aventador timm_a._92 , Saturday rudasstudios girlnightout düsseldorf domperignon moet champagne , , true
1693006701118507324, Bd-xJ_uhkk8, 114, 1, 2018-01-15 10:49:07, #champagne #lightshow #party #girlnightout #düsseldorf, False, N/A, jkyl3 inked_monii25 jean_jaques_dus timothyotten moe_aventador ferdi__ibra____ diger741981 andidie4984 timur_cicek , champagne lightshow party girlnightout düsseldorf , , true
1693005155936851794, Bd-wzgqhVdS, 179, 4, 2018-01-15 10:46:03, #rudasstudios #dusseldorf #girlsnightout #medienhafen, False, N/A, djhstyle fatonsoulchild valeriyariaa _marinskii ylmz82 s.ca.22 serdar_cesur alej.andro1 spanyolkaa stefi_stefania_s , rudasstudios dusseldorf girlsnightout medienhafen , , true
1692132853036788439, Bd7qd1SBqrX, 143, 1, 2018-01-14 05:52:56, Nice weekend #rudasstudios, False, N/A, m.betz10 nurcan.62 shadicavalli anas_lbabidi _letthelordbewithu_1 caro_schlue tommaso_coco_events nurhan_love vvvacano rudasstudios , rudasstudios , , true
1687989941113858931, Bds8eh4hitz, 120, 1, 2018-01-08 12:41:43, #wearerudasstudios #rudasstudios, False, N/A, thisisilias marcelg1406 diger741981 itsxxme kokusimahausofbags aznjojo2810 michellemariau miss.lipstick_ nazaninrafiy jean_jaques_dus , wearerudasstudios rudasstudios , , true
1687084487676335450, BdpumcqBRVa, 149, 2, 2018-01-07 06:42:44, Hallo sunday #wearerudasstudios #rudasstudios @minou_wrnk @tlnxx, False, N/A, emiracle_man uki.luke tasso73 huarache0 privatpraxis_duesseldorf bora_xx17 lisa_kfm mrs.liliann alej.andro1 momah001 , wearerudasstudios rudasstudios , minou_wrnk tlnxx , true
1686433495943276341, BdnalRXBOc1, 104, 0, 2018-01-06 09:09:20, What a night!!! #rudasstudios #bestpartyever #lollipoplovesu, False, N/A, abgeputzt ying_bxx adellaax leo_borntrager vvvacano has_44 ferdi__ibra____ sven_szw derderallesbekommt _____life.of.cx , rudasstudios bestpartyever lollipoplovesu , , false
